MAP_SYMBOL,GIS_CODE,STRAT_NAME,STRAT_UNIT_DESC
"Mnw","M-n--w","Windamerta Diorite","Diorite to granodiorite, prominent biotite and hornblende, with plagioclase, K-feldspar, quartz and retrograde chlorite; I-type; 1581±6 Ma and 1577±66Ma."
"Mp","M-p","Pitjantjatjara Supersuite","Alkali granite to diorite, primarily quartz monzonite, with orthopyroxene, clinopyroxene, hornblende or biotite, commonly porphyritic, foliated to massive. A to I-type, ~1220-1120 Ma, syn- and post-Musgravian Orogeny."
"Mp1","M-p-----01","Pitjantjatjara Supersuite unit 1","Aplite, medium-grained, equigranular, sheared. Indulkana shear zone."
"Mp10","M-p-----10","Pitjantjatjara Supersuite unit 10","Granite porphyry, varying from alkaline granite to mangerite (hypersthene-monzonite) or trondhjemite, Based on Prot-gp, Eateringinna 1:100 000."
"Mp11","M-p-----11","Pitjantjatjara Supersuite unit 11","Reticulate-textured quartz-feldspar pegmatite as semi-conformable or cross-cutting bands. Based on Prot-gx, Eateringinna 1:100 000."
"Mp12","M-p-----12","Pitjantjatjara Supersuite unit 12","Granitoid plutons, massive to internally zoned, including intrusive charnockite; strongly magnetic."
"Mp13","M-p-----13","Pitjantjatjara Supersuite unit 13","Granitoid plutons and phases of larger plutons, non-magnetic to moderately magnetic."
"Mp14","M-p-----14","Pitjantjatjara Supersuite unit 14","Micromonzogranite to microsyenogranite, dykes, grey to pale brown, massive, fine- to medium-grained, equigranular to porphyritic (K-feldspar-phyric) with biotite."
"Mp15","M-p-----15","Pitjantjatjara Supersuite unit 15","Microsyenogranite, pink to reddish-brown, massive, fine-grained, leucocratic, equigranular to porphyritic (quartz and K-feldspar), with biotite, fluorite-bearing."
"Mp16","M-p-----16","Pitjantjatjara Supersuite unit 16","Monzogranite to syenogranite, pale brown to reddish-brown, massive to weakly foliated, medium- to coarse-grained, porphyritic (K-feldspar), with biotite ± ?hornblende. Pegmatite, quartz-feldspar, dykes, locally cross-cutting."
"Mp17","M-p-----17","Pitjantjatjara Supersuite unit 17","Syenogranite to quartz-monzodiorite, pale brown to reddish-brown, massive to flow-lineated, locally foliated, coarse-grained, porphyritic (K-feldspar) with biotite and also hornblende in metagranite. Pegmatite, quartz-feldspar, dykes, locally cross-cutting."
"Mp18","M-p-----18","Pitjantjatjara Supersuite unit 18","Metasyenogranite to metaquartz-monzodiorite, grey to pink, fine- to medium-grained, porphyritic (feldspar), with hornblende, biotite and titanite; weak to moderate magmatic and/or tectonic foliation defined by wispy, mafic aggregates."
"Mp19","M-p-----19","Pitjantjatjara Supersuite unit 19","Monzogranite to syenogranite, grey to pale pink, massive, medium- to coarse-grained, porphyritic (feldspar), with biotite, hornblende and titanite; spotty biotite-hornblende-magnetite aggregates; euhedral, brownish-weathering feldspar phenocrysts to 5cm."
"Mp2","M-p-----02","Pitjantjatjara Supersuite unit 2","Biotite and hornblende adamellite. Based on flesh-pink unit (in part) on ALBERGA."
"Mp20","M-p-----20","Pitjantjatjara Supersuite unit 20","Monzogranite, pale brown to pink, massive to weakly foliated, mainly medium-grained, equigranular, with biotite, commonly leucocratic."
"Mp21","M-p-----21","Pitjantjatjara Supersuite unit 21","Monzogranite to syenogranite, pale brown to pink, massive to weakly foliated, mainly medium-grained, equigranular to sparsely K-feldspar-phyric, commonly leucocratic, with biotite; diffuse, blebby quartz-feldspar pegmatites. Locally contains gneiss rafts or biotite-rich schlieren."
"Mp22","M-p-----22","Pitjantjatjara Supersuite unit 22","Monzogranite to syenogranite plutons, late stage, strongly magnetic: massive to weakly foliated, medium- to coarse-grained, porphyritic."
"Mp23","M-p-----23","Pitjantjatjara Supersuite unit 23","Monzogranite to syenogranite plutons, early stage, moderately to strongly magnetic: Massive to weakly foliated, mainly medium-grained, equigranular to sparsely K-feldspar-phyric, commonly leucocratic."
"Mp3","M-p-----03","Pitjantjatjara Supersuite unit 3","Microadamellite, microgranite."
"Mp4","M-p-----04","Pitjantjatjara Supersuite unit 4","Hypersthene adamellite (charnockite). Based on red unit on WOODROFFE and Davies 1-mile (MANN)."
"Mp5","M-p-----05","Pitjantjatjara Supersuite unit 5","Gneissic granite. Based on pink unit with lines on WOODROFFE."
"Mp6","M-p-----06","Pitjantjatjara Supersuite unit 6","Granite with accessory allanite. Based on pink unit with dots on WOODROFFE."
"Mp7","M-p-----07","Pitjantjatjara Supersuite unit 7","Vein pegmatite; quartz+alkali feldspar +/- magnetite, biotite, allanite, monazite, other radioactive minerals. Based on Prot-gv, Eateringinna 1:100 000."
"Mp8","M-p-----08","Pitjantjatjara Supersuite unit 8","Zoned pegmatite; quartz core, graphic quartz-microcline middle zone, margin rich in biotite, magnetite, radioactive minerals. Based on Prot-gz, Eateringinna 1:100 000."
"Mp9","M-p-----09","Pitjantjatjara Supersuite unit 9","Microgranite marginal to Mk2 and as dykes. Based on Prot-gm, Eateringinna 1:100 000."
"Mpa","M-p--a","Ampeinna granite","Granite, biotite-hornblende, porphyritic."
"Mpc","M-p--c","Cartoberinna Granite","Granite, massive, medium-grained, biotitic."
"Mpe","M-p--e","Ernabella Adamellite","Adamellite, orthopyroxene and clinopyroxene."
"Mpi","M-p--i","Illbillie Adamellite","Adamellite. AGE 1150 (Rb/Sr), 1100 (K/Ar)."
"Mpm","M-p--m","Mundy Dam Microgranite","Microgranite, inequigranular to locally porphyritic, massive to foliated; syenogranite to monzogranite in composition."
"Mpn","M-p--n","Ngarinya Adamellite","Adamellite, charnockitic. Crystallisation age 1186+/-10 Ma on U-Pb zircon."
"Mpp","M-p--p","Permano Adamellite","Adamellite, foliated,."
"Ms","M--s","Spilsby Suite","Granite, tabular-feldspar, medium-grained; granite to aplite, pink, fine-grained; granodiorite, grey, fine-grained.  Comagmatic suite. 1509-1497 Ma."
"Ms1","M--s----01","Spilsby Suite unit 1","Granite, medium-coarse tabular-feldspar."
"Ms2","M--s----02","Spilsby Suite unit 2","Fine-grained granite, aplite."
"Ms3","M--s----03","Spilsby Suite unit 3","Granodiorite, fine-medium grey."
"Mu","M-hu","Cultana Subsuite","Granite; microgranite; porphyritic granite; quartz-feldspar porphyry.  A felsic shallow level intrusive suite. S to I-type, 207Pb/206Pb model age of 1584+/-3 Ma."
"Mu1","M-hu----01","Cultana Subsuite unit 1","Quartz-feldspar porphyry, round quartz and small euhedral feldspar phenocrysts, pink-purple fine grained granular groundmass of quartz, feldspar, minor haematite."
"Mu2","M-hu----02","Cultana Subsuite unit 2","Alkali-feldspar granite, orange-pink, coarse-grained, potassium feldspar with occasional Rapakivi textured rims, quartz, interstitial plagioclase, tourmaline, minor haematite."
"Mu3","M-hu----03","Cultana Subsuite unit 3","Feldspar-phyric granophyric monzogranite, pink, large euhedral and rounded feldspar phenocrysts with occasional Rapakivi texture plagioclase rims, round quartz phenocrysts, fine grained granophyric groundmass of quartz, feldspar, minor haematite."
"Mu4","M-hu----04","Cultana Subsuite unit 4","Alkali-feldspar microgranite, pale pink, sparse small phenocrysts of round-subround quartz and euhedral feldspar, tourmaline clots, very fine grained granular groundmass of quartz and feldspar with minor granophyric textures, minor haematite."
"Mu5","M-hu----05","Cultana Subsuite unit 5","Micro-syenogranite, rose-pink, granular quartz and feldspar with minor granophyric textures, minor tourmaline and haematite."
"Mw","M-hw","Wirrda Subsuite","Monzodiorite, bimodal, medium-grained, porphyritic quartz; quartz monzonite; syenite and aplite."
"Mwr","M-hw-r","Roxby Downs Granite","Syenogranite, coarse-grained. equigranular to porphyritic. Age 1588+/-4 Ma (U-Pb zircon)."
"Mwro","M-hw-ro","Olympic Dam Breccia Complex","Breccia, haematite breccia, volcaniclastic conglomerate peperite, tuffisite, and felsic dykes, granite breccia."
"My","M-ay","Glyde Hill Volcanic Complex","Rhyolite; dacite; rhyodacite; tuff, interbedded basalt and andesite."
"My1","M-ay----01","Glyde Hill Volcanic Complex unit 1","Rhyolite, flow banded, rhyolitic welded tuff, ash. Based on unit Prot-ag1c on GAIRDNER."
"My2","M-ay----02","Glyde Hill Volcanic Complex unit 2","Mangaroongah Dacite and Childera Dacite: Prot-ag1 on GRV map."
"My3","M-ay----03","Glyde Hill Volcanic Complex unit 3","Wheepool Rhyolite, Baldry Rhyolite and Arburee Rhyolite: Prot-aw on GRV map."
"My4","M-ay----04","Glyde HIll Volcanic Complex unit 4","Yantea Rhyodacite and Bunburn Dacite: Prot-ag2 on GRV map."
"Mya","M-ay-a","Arburee Rhyolite","Rhyolite, porphyritic, phenocrysts of alkali feldspar."
"Myb","M-ay-b","Bunburn Dacite","Dacite-rhyodacite (porphyritic)."
"Myc","M-ay-c","Childera Dacite","Dacite (porphyritic). Locally overlies Myc1."
"Myc1","M-ay-c--01","Childera Dacite unit 1","Basaltic andesite, dark greenish-grey. Based on blue unit within Childera Dacite on CHILDARA."
"Mye","M-ay-e","Wheepool Rhyolite","Rhyolite, porphyritic; welded tuff; breccia."
"Mye1","M-ay-e--01","Wheepool Rhyolite unit 1","Rhyolitic pyroclastic breccia, agglomerate. Based on breccia within Wheepool Rhyolite on GAIRDNER."
"Myh","M-ay-h","Whyeela Dacite","Dacite, porphyritic, locally vesicular and pumiceous."
"Myh1","M-ay-h--01","Whyeela Dacite unit 1","Andesite."
"Myk","M-ay-k","Karkulta Rhyolite","Rhyolite, sparsely porphyritic; flow-banded rhyolite; rhyolitic breccia."
"Myl","M-ay-l","Baldry Rhyolite","Rhyolite, white to buff, quartz phenocrysts.  From poorly welded lithic, lapilli tuff to flow banded, highly viscous lava.  Low energy explosive ashflows and highly viscous lava flows."
"Mym","M-ay-m","Mangaroongah Dacite","Dacite-rhyodacite, porphyritic, locally vesicular."
"Mym1","M-ay-m--01","Mangaroongah Dacite unit 1","Andesite."
"Myn","M-ay-n","Nuckulla Basalt","Basalt, massive, dark green-grey, flows, vesicular upper surface."
"Myo","M-ay-o","Mordinyabee Rhyodacite","Rhyodacite, red-brown, porphyritic."
"Myp","M-ay-p","Palthrubie Granophyre","Granophyre, orange, medium-grained, quartz and feldspar."
"Myw","M-ay-w","Waurea Pyroclastics","Breccia, variegated pyroclastic with bands of lapilli tuff and fine-grained tuff."
"Myy","M-ay-y","Yantea Rhyodacite","Rhyodacite, porphyritic, locally dacitic."
"Myz","M-ay-z","Moonamby dyke-suite","Rhyolite, rhyodacite, dacite, porphyritic, brick red."
"N","N-","Neoproterozoic rocks","Undifferentiated Neoproterozoic rocks."
"N-a","N----a","Alinya Formation","Lower red brown siltstone, sandstone, anhydrite; upper cyclic siltstone, shale, anhydrite, dolomite, sandstone."
"N-c","N----c","Chambers Bluff Tillite","Diamictite, gritty siltstone, pale brown and green; sandstone and quartzite, white, feldspathic, interbeds."
"N-c1","N----c--01","Chambers Bluff Tillite unit 1","Tillite, haematitic and calcareous; sandstone, tillitic; slate, tillitic."
"N-c2","N----c--02","Chambers Bluff Tillite unit 2","Quartzite; feldspathic quartzite."
"N-f","N----f","Mount Crawford Granite Gneiss","Granitic gneiss, strongly foliated with lineation parallel to the country rock. Quartz, plagioclase (oligoclase), and biotite, minor microcline. A-type, SHRIMP U-Pb age 812+/-6 Ma."
"N-g","N----g","Gairdner Dolerite","Dolerite dykes locally intruded by black porphyritic basalt. Sm-Nd ages 867+/-47 and 802+/-35Ma; U-Pb age  827+/-6Ma."
"N-g1","N----g--01","Gairdner Dolerite unit 1","Metabasalt, amphibole-rich, to metadolerite; weakly foliated.  Green hornblende+plagioclase+skeletal opaque oxides. Distinguished as NE-trending dyke swarm.  Weakly foliated."
"N-i","N----i","Wright Hill beds","Siltstone; quartzite and sandstone, feldspathic, cross-bedded, with quartz granules; chert, green, purple-brown or yellow, partly brecciated or black, oolitic."
"N-k","N----k","Kilroo Formation","Mixed clastics, evaporites, and volcanics."
"N-k1","N----k--01","Kilroo Formation unit 1","Amgdaloidal basalt, basaltic tuff. Based on volcanic unit in Prot-ck on KIMBA."
"N-k2","N----k--02","Kilroo Formation unit 2","Halite, claystone, siltstone, sandstone. Based on Prot-c1 on ELLISTON."
"N-k3","N----k--03","Kilroo Formation unit 3","Sandstone, argillaceous, calcareous, fine, siltstone. Based on Prot-c2 (brown) on ELLISTON."
"N-k4","N----k--04","Kilroo Formation unit 4","Halite, claystone, siltstone, limestone. Based on Prot-c2 (pink) on ELLISTON."
"N-k5","N----k--05","Kilroo Formation unit 5","Red-brown claystone, siltstone, calcareous sandstone. Based on Prot-c3 on ELLISTON."
"N-p","N----p","Pindyin Sandstone","Basal conglomerate, thin; sandstone, medium to coarse-grained, cross-bedded; shale, white; rare chert, limestone and dolomite."
"N-r","N----r","Rodda beds","Siltstone, grey-green, khaki, calcareous and dolomitic; limestone and dolomite, grey, fine-grained, as slumped blocks; sandstone and grit, felspathic or calcareous."
"N-t","N----t","Amata Dolerite","Quartz dolerite, tholeiitic, dykes, NW-trending.  Deformed and metamorphosed north of Mann Fault. ~825–760 Ma."
"N-u","N----u","Punkerri Sandstone","Sandstone, purple and red-brown, quartzose, flaggy, siltstone clasts, lower unit; sandstone, red and white, feldspathic, upper unit."
"N-w","N----w","Wantapella Volcanics","Basalt, altered, amygdaloidal, tholeiitic; with minor lithic and gritty sandstone interbeds."
"N1","N-------01","Neoproterozoic unit 1","Undifferentiated Wright Hill beds, Alinya Formation and Pindyin Sandstone: sandstone, microcrystalline carbonate, claystone. AGSO-MESA Officer Basin seismic transect."
"N2","N-------02","Neoproterozoic unit 2","Wilpena Group equivalents: sandstone, mudstone, limestone. Includes Punkerri Sandstone, Ungoolya Group, Karlaya Limestone, Wright Hill beds."
"N3","N-------03","Neoproterozoic unit 3","Callanna, Burra Group equivalents: anhydritic siltstone, sandstone, shale, dolomite, minor chert, quartzite. Includes Pindyin Sandstone."
"N4","N-------04","Neoproterozoic unit 4","Intrusive mafic and ultramafic plugs within the Karari Fault Zone; includes altered olivine basalt and hornblende peridotite.  OOLDEA map sheet."
"N5","N-------05","Neoproterozoic unit 5","Basalt, altered, porphyritic or vesicular in Mallabie 1, CD1; porphyritic ?syenite-trachyte (?highly altered mafic volcanic rock) in Nullarbor 3, 4, 8 may be equivalent."
"N6","N-------06","Neoproterozoic unit 6","Felsic porphyry dykes; rhyolite tuff; lava; agglomerate. Hydrothermally altered and bleached. Burra Mine. U-Pb age 797+/-5Ma."
"N7","N-------07","Neoproterozoic unit 7","Shale, siltstone and f.g. sandstone, grey, white, yellow-brown, green, purple, partly gritty; prominent quartzite bands, partly feldspathic, white, purple-brown-grey; basal pebble conglomerate."
"N8","N-------08","Neoproterozoic unit 8","Quartzite, feldspathic quartzite."
"NE","NE","Neoproterozoic-Cambrian rocks","Undifferentiated Neoproterozoic and/or Cambrian rocks."
"NE1","NE------01","Neoproterozoic-Cambrian unit 1","Undifferentiated Neoproterozoic rocks and Kanmantoo Group MURRAY DHDB."
"NE2","NE------02","Neoproterozoic-Cambrian unit 2","Unit Eo as used on TALLARINGA, now comprising Observatory Hill Formation, Ouldburra Formation, Relief Sandstone and Rodda beds: Mudstone, carbonate, chert, halite, sandstone."
"NEp","NE-p","Pertaoorrta Group","Mudrock, brick-red, haematitic, green patches, slightly micaceous, mud flake intraclasts, starved ripples, dessication marks; local sandstone, calcareous, fine grained; dolomite."
"NK","NK","Neoproterozoic-Cretaceous rocks","Undifferentiated Neoproterozoic to Cretaceous rocks."
"NK1","NK------01","Neoproterozoic-Cretaceous unit 1","Undifferentiated pre-Tertiary basement below the Murray Basin: age possibilities range from Neoproterozoic to Cretaceous: MURRAY DHDB."
"NO","NO","Neoproterozoic-Ordovician rocks","Undifferentiated Neoproterozoic to Ordovician rocks."
"NO1","NO------01","Neoproterozoic-Ordovician unit 1","Undifferentiated Neoproterozoic to Cambrian metasediments, Neoproterozoic-Ordovician volcanics and mafic intrusives; Murray Basin basement."
"Na","N-wca","Arkaroola Subgroup","Basalt, with minor acid and intermediate volcanics, tuffs; marble, soft, white, calcitic and dolomitic; quartzite, pink and grey, ripple marks, stromatolitic; conglomerate."
"Na1","N-wca---01","Arkaroola Subgroup unit 1","Undifferentiated mafic volcanic rocks: Wooltana Volcanics, Beda Volcanics and equivalents."
"Na2","N-wca---02","Arkaroola Subgroup unit 2","Basal clastics; inferred only. CURDIMURKA sheet."
"Nab","N-wcab","Black Knob Marble","Marble, black, carbonaceous, calcitic.  Smoky quartz, potash feldspar, in some beds.  Chalcedonic nodules in some bedding planes."
"Nac","N-wcac","Cadlareena Volcanics","Basalt; dolerite; sandstone."
"Nae","N-wcae","Beda Basalt","Basalt, amygdaloidal to massive, tholeiitic, subaerial, flows 1-30m thick, altered by chlorite, sericite, hematite, amphibole, epidote and K-feldspar."
"Nak","N-wcak","Backy Point Formation","Sandstone; conglomerate, pink to red, locally haematitic."
"Nal","N-wcal","Wooltana Volcanics","Basalt lava, often amygdaloidal, deuterically-altered or metamorphosed, red and purple; quartzite, heavy-mineral-laminated, red or grey; shale and siltstone, red and purple; tuff; rare trachyte, calcareous metasediment."
"Nal1","N-wcal--01","Wooltana Volcanics unit 1","Red sandstone, shale and epidote quartzite interbeds."
